,Biomass,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
2017-04-22,9772.0,48590.0,21027.0,0.0,3137.0,5752.0,20224.0,83128.0,0.0,12706.0,0.0,1070089.0,40140.0,5886.0,33041.0
2017-04-23,9735.0,22582.0,18549.0,0.0,3131.0,5536.0,45355.0,76661.0,0.0,9127.0,0.0,1015913.0,42446.0,5696.0,46445.0
2017-04-24,9792.0,91902.0,25642.0,0.0,3128.0,16168.0,16871.0,85764.0,0.0,19550.0,0.0,1066602.0,39377.0,5327.0,33998.0
2017-04-25,7516.0,109141.0,31236.0,0.0,3165.0,12227.0,15033.0,91529.0,0.0,25967.0,0.0,1066951.0,19987.0,5127.0,50366.0
2017-04-26,6654.0,118246.0,33858.0,0.0,3165.0,20478.0,9511.0,111270.0,0.0,25915.0,0.0,1117920.0,21262.0,5354.0,47351.0
2017-04-27,6344.0,121948.0,45418.0,0.0,4407.0,19581.0,9008.0,112348.0,0.0,31437.0,0.0,1122810.0,28448.0,5395.0,46287.0
2017-04-28,8847.0,129125.0,37346.0,0.0,3152.0,24236.0,15471.0,111841.0,0.0,30590.0,0.0,1119460.0,34197.0,5449.0,35016.0
2017-04-29,8063.0,68670.0,7210.0,86.0,3153.0,9076.0,15867.0,99738.0,0.0,13825.0,0.0,1059079.0,41960.0,5702.0,36645.0
2017-04-30,9970.0,21920.0,0.0,123.0,3142.0,2967.0,45397.0,86964.0,0.0,4226.0,0.0,910500.0,24001.0,5633.0,131891.0
2017-05-01,9170.0,20948.0,0.0,413.0,3100.0,5833.0,28802.0,98218.0,0.0,8973.0,0.0,959026.0,32023.0,5498.0,110021.0
2017-05-02,8817.0,99868.0,28936.0,296.0,4434.0,31791.0,8130.0,112833.0,0.0,29357.0,0.0,1036183.0,24535.0,5422.0,30957.0
